CountryName,Capital,Fartest,Nearest
Afghanistan,Kabul,Adamstown,Islamabad
Albania,Tirana,Wellington,Podgorica
Algeria,Algiers,Wellington,Tunis
American Samoa,Pago Pago,Abuja,Apia
Andorra,Andorra la Vella,Wellington,Madrid
Angola,Luanda,Yaren,Kinshasa
Anguilla,The Valley,Dili,Marigot
Antigua and Barbuda,St. John's,Dili,Plymouth
Argentina,Buenos Aires,Seoul,Montevideo
Armenia,Yerevan,Adamstown,Tbilisi
Aruba,Oranjestad,The Settlement,Caracas
Australia,Canberra,El Aaiún,Kingston
Austria,Vienna,Wellington,Bratislava
Azerbaijan,Baku,Adamstown,Tbilisi
Bahamas,Nassau,West Island,Havana
Bahrain,Manama,Adamstown,Doha
Bangladesh,Dhaka,Lima,Thimphu
Barbados,Bridgetown,Dili,Kingstown
Belarus,Minsk,Wellington,Vilnius
Belgium,Brussels,Wellington,Amsterdam
Belize,Belmopan,West Island,New Guatemala
Benin,Porto-Novo,Funafuti,Lomé
Bermuda,Hamilton,The Settlement,Washington
Bhutan,Thimphu,Santiago,Dhaka
Bolivia,Sucre,Hong Kong,Asunción
Bosnia and Herzegovina,Sarajevo,Wellington,Podgorica
Botswana,Gaborone,Yaren,Pretoria
Brazil,Brasília,Melekeok,Asunción
British Indian Ocean Territory,Diego Garcia,Wellington,Longyearbyen
British Virgin Islands,Road Town,The Settlement,Charlotte Amalie
Brunei,Bandar Seri Begawan,Bogotá,Manila
Bulgaria,Sofia,Wellington,Skopje
Burkina Faso,Ouagadougou,Funafuti,Niamey
Burundi,Bujumbura,Papeete,Kigali
Cambodia,Phnom Penh,Lima,Bangkok
Cameroon,Yaoundé,Apia,Malabo
Canada,Ottawa,West Island,Washington
Cape Verde,Praia,Honiara,Dakar
Cayman Islands,George Town,West Island,Havana
Central African Republic,Bangui,Pago Pago,Yaoundé
Chad,N'Djamena,Pago Pago,Abuja
Chile,Santiago,Beijing,Buenos Aires
China,Beijing,Buenos Aires,Pyongyang
Christmas Island,The Settlement,Oranjestad,Jakarta
Cocos Islands,West Island,San José,The Settlement
Colombia,Bogotá,Jakarta,Quito
Comoros,Moroni,Papeete,Mamoutzou
Cook Islands,Avarua,N'Djamena,Alofi
Costa Rica,San José,West Island,Managua
Croatia,Zagreb,Wellington,Ljubljana
Cuba,Havana,West Island,George Town
Cyprus,Nicosia,Adamstown,Jerusalem
Czech Republic,Prague,Wellington,Vienna
Democratic Republic of the Congo,Kinshasa,Yaren,Brazzaville
Denmark,Copenhagen,Wellington,Berlin
Djibouti,Djibouti,Papeete,Sanaa
Dominica,Roseau,Dili,Fort-de-France
Dominican Republic,Santo Domingo,The Settlement,Port-au-Prince
East Timor,Dili,Paramaribo,Bandar Seri Begawan
Ecuador,Quito,Singapore,Bogotá
Egypt,Cairo,Papeete,Amman
El Salvador,San Salvador,West Island,New Guatemala
Equatorial Guinea,Malabo,Apia,Yaoundé
Eritrea,Asmara,Papeete,Sanaa
Estonia,Tallinn,Wellington,Helsinki
Ethiopia,Addis Ababa,Papeete,Djibouti
Falkland Islands,Stanley,Ulan Bator,Grytviken
Faroe Islands,Tórshavn,Wellington,Reykjavík
Fiji,Suva,Ouagadougou,Nuku'alofa
Finland,Helsinki,Wellington,Tallinn
France,Paris,Wellington,Brussels
French Guiana,Cayenne,Dili,Paramaribo
French Polynesia,Papeete,Khartoum,Avarua
Gabon,Libreville,Funafuti,São Tomé
Gambia,Banjul,Honiara,Dakar
Georgia,Tbilisi,Adamstown,Yerevan
Germany,Berlin,Wellington,Prague
Ghana,Accra,Funafuti,Lomé
Gibraltar,Gibraltar,Wellington,Rabat
Greece,Athens,Avarua,Skopje
Greenland,Nuuk (Godthåb),Canberra,Reykjavík
Grenada,St. George's,Dili,Kingstown
Guadeloupe,Basse-Terre,Dili,Roseau
Guam,Hagåtña,Brasília,Saipan
Guatemala,New Guatemala,West Island,San Salvador
Guernsey,St Peter Port,Wellington,Saint Helier
Guinea,Conakry,Nukunonu,Freetown
Guinea-Bissau,Bissau,Honiara,Banjul
Guyana,Georgetown,Dili,Paramaribo
Haiti,Port-au-Prince,The Settlement,Santo Domingo
Honduras,Tegucigalpa,West Island,San Salvador
Hong Kong,Hong Kong,Sucre,Macao
Hungary,Budapest,Wellington,Bratislava
Iceland,Reykjavík,Wellington,Tórshavn
India,New Delhi,Adamstown,Islamabad
Indonesia,Jakarta,Bogotá,The Settlement
